participation_id,user_id,team,medal,abs_score,full_name,task_name,contest_id,last_submission_ts,consecutive_submission_count,time_spent_for_the_task
47,25,IDN,1,435.43,Abdul Malik Nurrokhman,shoes,2,2019-08-06 06:36:36.463235,3,00:33:30.972435
47,25,IDN,1,435.43,Abdul Malik Nurrokhman,split,2,2019-08-06 06:57:38.875446,2,00:21:02.412211
47,25,IDN,1,435.43,Abdul Malik Nurrokhman,rect,2,2019-08-06 08:34:36.548052,6,01:36:57.672606
47,25,IDN,1,435.43,Abdul Malik Nurrokhman,split,2,2019-08-06 09:14:46.790258,3,00:40:10.242206
48,25,IDN,1,435.43,Abdul Malik Nurrokhman,vision,1,2019-08-08 05:39:31.885582,1,00:19:31.885582
48,25,IDN,1,435.43,Abdul Malik Nurrokhman,line,1,2019-08-08 06:33:56.82497,3,00:54:24.939388
48,25,IDN,1,435.43,Abdul Malik Nurrokhman,walk,1,2019-08-08 06:56:25.738053,1,00:22:28.913083
48,25,IDN,1,435.43,Abdul Malik Nurrokhman,vision,1,2019-08-08 07:48:31.130682,4,00:52:05.392629
48,25,IDN,1,435.43,Abdul Malik Nurrokhman,walk,1,2019-08-08 09:13:27.277745,5,01:24:56.147063
48,25,IDN,1,435.43,Abdul Malik Nurrokhman,line,1,2019-08-08 10:33:20.929632,5,01:19:53.651887
49,26,IDN,2,333.77,Vincent Ling,shoes,2,2019-08-06 06:25:05.263229,5,01:25:05.263229
49,26,IDN,2,333.77,Vincent Ling,split,2,2019-08-06 07:00:08.20722,4,00:35:02.943991
49,26,IDN,2,333.77,Vincent Ling,rect,2,2019-08-06 08:32:20.494837,4,01:32:12.287617
49,26,IDN,2,333.77,Vincent Ling,split,2,2019-08-06 09:47:54.130941,3,01:15:33.636104
52,26,IDN,2,333.77,Vincent Ling,vision,1,2019-08-08 07:34:36.369744,11,02:14:36.369744
52,26,IDN,2,333.77,Vincent Ling,line,1,2019-08-08 09:16:44.208494,11,01:42:07.83875
52,26,IDN,2,333.77,Vincent Ling,walk,1,2019-08-08 10:14:38.865401,2,00:57:54.656907
52,26,IDN,2,333.77,Vincent Ling,line,1,2019-08-08 10:30:55.792896,1,00:16:16.927495
50,27,IDN,2,344.17,R. Fausta Anugrah Dianparama,shoes,2,2019-08-06 05:12:08.615691,1,00:12:08.615691
50,27,IDN,2,344.17,R. Fausta Anugrah Dianparama,rect,2,2019-08-06 05:43:08.192155,5,00:30:59.576464
50,27,IDN,2,344.17,R. Fausta Anugrah Dianparama,shoes,2,2019-08-06 06:12:14.918073,5,00:29:06.725918
50,27,IDN,2,344.17,R. Fausta Anugrah Dianparama,split,2,2019-08-06 06:55:21.897459,10,00:43:06.979386
50,27,IDN,2,344.17,R. Fausta Anugrah Dianparama,shoes,2,2019-08-06 07:41:05.548739,9,00:45:43.65128
50,27,IDN,2,344.17,R. Fausta Anugrah Dianparama,rect,2,2019-08-06 08:32:20.448997,3,00:51:14.900258
50,27,IDN,2,344.17,R. Fausta Anugrah Dianparama,split,2,2019-08-06 09:35:45.483725,10,01:03:25.034728
50,27,IDN,2,344.17,R. Fausta Anugrah Dianparama,rect,2,2019-08-06 09:57:48.697855,3,00:22:03.21413
53,27,IDN,2,344.17,R. Fausta Anugrah Dianparama,line,1,2019-08-08 05:43:38.606704,1,00:23:38.606704
53,27,IDN,2,344.17,R. Fausta Anugrah Dianparama,vision,1,2019-08-08 06:36:54.670537,5,00:53:16.063833
53,27,IDN,2,344.17,R. Fausta Anugrah Dianparama,walk,1,2019-08-08 07:05:02.342533,2,00:28:07.671996
53,27,IDN,2,344.17,R. Fausta Anugrah Dianparama,line,1,2019-08-08 08:31:34.320183,14,01:26:31.97765
